index_code,date,open,close,low,high,volume,money,change
sh000001,1997-04-24,1370.17,1380.28,1356.52,1386.52,10035406.0,13313000000.0,0.00104435612544
sh000001,1997-04-23,1370.05,1378.84,1368.65,1380.36,10522662.0,13674000000.0,0.00976931526913
sh000001,1997-04-22,1362.98,1365.5,1354.45,1368.88,10857721.0,12256000000.0,0.00251822593553
sh000001,1997-04-21,1355.56,1362.07,1350.8,1365.22,12377890.0,13609000000.0,0.0179667122561
sh000001,1997-04-18,1325.23,1338.03,1305.95,1338.85,8801098.0,9997000000.0,0.0110777787013
sh000001,1997-04-17,1323.42,1323.37,1319.76,1331.18,7803004.0,8870000000.0,-0.00332133335342
sh000001,1997-04-16,1334.31,1327.78,1318.16,1338.42,9697085.0,11278000000.0,0.00212836613935
sh000001,1997-04-15,1318.57,1324.96,1298.18,1326.38,10320303.0,11839000000.0,0.0061051544513
sh000001,1997-04-14,1293.98,1316.92,1293.98,1325.67,14119474.0,15683000000.0,0.0300266712553
sh000001,1997-04-11,1279.34,1278.53,1251.01,1283.56,9223723.0,11204000000.0,-0.00262112973812
sh000001,1997-04-10,1293.26,1281.89,1279.49,1299.74,10861329.0,13192000000.0,-0.00385437308156
sh000001,1997-04-09,1251.57,1286.85,1251.56,1286.91,9604504.0,12103000000.0,0.031741577538
sh000001,1997-04-08,1277.06,1247.26,1246.72,1278.3,8053775.0,9958000000.0,-0.0228374895214
sh000001,1997-04-07,1259.59,1276.41,1252.75,1276.57,10098885.0,12109000000.0,0.0122525694709
sh000001,1997-04-04,1258.07,1260.96,1251.6,1269.73,10161852.0,12427000000.0,0.0119820550067
sh000001,1997-04-03,1233.82,1246.03,1222.56,1246.18,6891523.0,8013000000.0,0.00987154030068
sh000001,1997-04-02,1246.41,1233.85,1232.31,1249.57,7583241.0,8214000000.0,-0.00578551686905
sh000001,1997-04-01,1243.87,1241.03,1234.25,1246.31,8367888.0,8533000000.0,0.00519188090263
sh000001,1997-03-31,1210.02,1234.62,1210.0,1234.96,8505750.0,9156000000.0,0.0265658908928
sh000001,1997-03-28,1213.81,1202.67,1199.53,1219.04,7532681.0,8467000000.0,-0.00954490800982
sh000001,1997-03-27,1220.55,1214.26,1202.77,1228.24,9687737.0,10784000000.0,-0.000863977092264
sh000001,1997-03-26,1204.21,1215.31,1201.17,1215.47,8872766.0,9724000000.0,0.0145845855874
sh000001,1997-03-25,1198.16,1197.84,1180.88,1201.62,9006469.0,10438000000.0,0.00512700024334
sh000001,1997-03-24,1186.95,1191.73,1181.33,1196.64,10888618.0,12614000000.0,0.0210423503003
sh000001,1997-03-21,1116.72,1167.17,1116.59,1167.21,7383739.0,8602000000.0,0.0414465700621
sh000001,1997-03-20,1162.26,1120.72,1119.67,1168.49,7576374.0,8531000000.0,-0.0349186666322
sh000001,1997-03-19,1167.04,1161.27,1156.19,1170.4,8071929.0,9515000000.0,-0.00116976166106
sh000001,1997-03-18,1164.96,1162.63,1148.07,1177.02,10507794.0,12203000000.0,0.00358228022927
sh000001,1997-03-17,1138.28,1158.48,1138.28,1159.54,11284870.0,12297000000.0,0.0290282465802
sh000001,1997-03-14,1114.74,1125.8,1092.7,1125.82,8188593.0,8566000000.0,0.00762566232278
sh000001,1997-03-13,1128.71,1117.28,1108.89,1131.73,9139949.0,9098000000.0,-0.0078852028131
sh000001,1997-03-12,1112.71,1126.16,1109.47,1126.42,9627853.0,9989000000.0,0.0148054031161
sh000001,1997-03-11,1103.43,1109.73,1092.72,1109.95,8332303.0,8973000000.0,0.00913902226102
